"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"Manchester","E08000003","Upper tier local authority","2020-04-15",0,744
"Medway","E06000035","Upper tier local authority","2020-04-15",0,428
"Merton","E09000024","Upper tier local authority","2020-04-15",0,526
"Middlesbrough","E06000002","Upper tier local authority","2020-04-15",0,325
"Milton Keynes","E06000042","Upper tier local authority","2020-04-15",0,331
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-15",0,638
"Newham","E09000025","Upper tier local authority","2020-04-15",2,809
"Norfolk","E10000020","Upper tier local authority","2020-04-15",0,786
"North East Lincolnshire","E06000012","Upper tier local authority","2020-04-15",0,86
"North Lincolnshire","E06000013","Upper tier local authority","2020-04-15",0,142
"North Somerset","E06000024","Upper tier local authority","2020-04-15",0,127
"North Tyneside","E08000022","Upper tier local authority","2020-04-15",0,339
"North Yorkshire","E10000023","Upper tier local authority","2020-04-15",6,542
"Northamptonshire","E10000021","Upper tier local authority","2020-04-15",0,784
"Northumberland","E06000057","Upper tier local authority","2020-04-15",0,502
"Nottingham","E06000018","Upper tier local authority","2020-04-15",0,339
"Nottinghamshire","E10000024","Upper tier local authority","2020-04-15",2,755
"Oldham","E08000004","Upper tier local authority","2020-04-15",0,378
"Oxfordshire","E10000025","Upper tier local authority","2020-04-15",0,1015
"Peterborough","E06000031","Upper tier local authority","2020-04-15",0,113
"Plymouth","E06000026","Upper tier local authority","2020-04-15",3,176
"Portsmouth","E06000044","Upper tier local authority","2020-04-15",0,200
"Reading","E06000038","Upper tier local authority","2020-04-15",0,246
"Redbridge","E09000026","Upper tier local authority","2020-04-15",0,548
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-15",0,195
"Richmond upon Thames","E09000027","Upper tier local authority","2020-04-15",0,297
"Rochdale","E08000005","Upper tier local authority","2020-04-15",0,278
"Rotherham","E08000018","Upper tier local authority","2020-04-15",2,407
"Rutland","E06000017","Upper tier local authority","2020-04-15",0,12
"Salford","E08000006","Upper tier local authority","2020-04-15",0,379
"Sandwell","E08000028","Upper tier local authority","2020-04-15",1,624
"Sefton","E08000014","Upper tier local authority","2020-04-15",0,560
"Sheffield","E08000019","Upper tier local authority","2020-04-15",17,1412
